2026-06-04T03:52:22.180532 | ID:1 | fall | 检测到人员摔倒
2026-06-04T03:52:24.188555 | ID:2 | fall | 检测到人员摔倒
2026-06-04T03:52:25.192652 | ID:3 | fall | 检测到人员摔倒
2026-06-04T03:52:25.192861 | ID:4 | fall | 检测到人员摔倒
2026-06-04T03:52:25.192932 | ID:5 | fall | 检测到人员摔倒
2026-06-04T03:52:25.192981 | ID:6 | fall | 检测到人员摔倒
2026-06-04T03:52:25.193022 | ID:7 | fall | 检测到人员摔倒
2026-06-04T03:52:26.193644 | ID:8 | fall | 检测到人员摔倒
2026-06-04T03:52:26.194047 | ID:9 | fall | 检测到人员摔倒
2026-06-04T03:52:39.237882 | ID:10 | fall | 检测到人员摔倒
2026-06-04T03:52:40.239196 | ID:11 | fall | 检测到人员摔倒
2026-06-04T03:52:41.249378 | ID:12 | fall | 检测到人员摔倒
2026-06-04T03:52:41.249580 | ID:13 | fall | 检测到人员摔倒
2026-06-04T03:52:41.249633 | ID:14 | fall | 检测到人员摔倒
2026-06-04T03:52:41.249674 | ID:15 | fall | 检测到人员摔倒
2026-06-04T03:52:42.259030 | ID:16 | fall | 检测到人员摔倒
2026-06-04T03:52:42.259266 | ID:17 | fall | 检测到人员摔倒
2026-06-04T03:52:42.259322 | ID:18 | fall | 检测到人员摔倒
2026-06-04T03:52:50.304099 | ID:19 | fall | 检测到人员摔倒
2026-06-04T03:52:50.304373 | ID:20 | fall | 检测到人员摔倒
2026-06-04T03:52:51.304783 | ID:21 | fall | 检测到人员摔倒
2026-06-04T03:52:52.305408 | ID:22 | fall | 检测到人员摔倒
2026-06-04T03:52:53.321355 | ID:23 | fall | 检测到人员摔倒
2026-06-04T03:52:54.325231 | ID:24 | fall | 检测到人员摔倒
2026-06-04T03:52:54.325452 | ID:25 | fall | 检测到人员摔倒
2026-06-04T03:52:54.325627 | ID:26 | fall | 检测到人员摔倒
2026-06-04T03:52:54.325677 | ID:27 | fall | 检测到人员摔倒
2026-06-04T03:52:54.325719 | ID:28 | fall | 检测到人员摔倒
2026-06-04T03:53:05.385910 | ID:29 | fall | 检测到人员摔倒
2026-06-04T03:53:07.395612 | ID:30 | fall | 检测到人员摔倒
2026-06-04T03:53:07.395974 | ID:31 | fall | 检测到人员摔倒
2026-06-04T03:53:07.396110 | ID:32 | fall | 检测到人员摔倒
2026-06-04T03:53:07.396217 | ID:33 | fall | 检测到人员摔倒
2026-06-04T03:53:07.396314 | ID:34 | fall | 检测到人员摔倒
2026-06-04T03:53:07.396407 | ID:35 | fall | 检测到人员摔倒
2026-06-04T03:53:15.405021 | ID:36 | fall | 检测到人员摔倒
2026-06-04T03:53:17.406903 | ID:37 | fall | 检测到人员摔倒
2026-06-04T03:53:18.408669 | ID:38 | fall | 检测到人员摔倒
2026-06-04T03:53:18.409409 | ID:39 | fall | 检测到人员摔倒
2026-06-04T03:53:18.409746 | ID:40 | fall | 检测到人员摔倒
2026-06-04T03:53:18.410009 | ID:41 | fall | 检测到人员摔倒
2026-06-04T03:53:18.410223 | ID:42 | fall | 检测到人员摔倒
2026-06-04T03:53:18.410419 | ID:43 | fall | 检测到人员摔倒
2026-06-04T03:53:19.413791 | ID:44 | fall | 检测到人员摔倒
2026-06-04T03:53:26.425002 | ID:45 | fall | 检测到人员摔倒
2026-06-04T03:53:26.425307 | ID:46 | fall | 检测到人员摔倒
2026-06-04T03:53:26.425449 | ID:47 | fall | 检测到人员摔倒
2026-06-04T03:53:28.427971 | ID:48 | fall | 检测到人员摔倒
2026-06-04T03:53:28.428192 | ID:49 | fall | 检测到人员摔倒
2026-06-04T03:53:29.428576 | ID:50 | fall | 检测到人员摔倒
2026-06-04T03:53:29.428834 | ID:51 | fall | 检测到人员摔倒
2026-06-04T03:53:29.428915 | ID:52 | fall | 检测到人员摔倒
2026-06-04T03:53:29.428988 | ID:53 | fall | 检测到人员摔倒
2026-06-04T03:53:30.429466 | ID:54 | fall | 检测到人员摔倒
2026-06-04T03:53:39.453819 | ID:55 | fall | 检测到人员摔倒
2026-06-04T03:53:40.454446 | ID:56 | fall | 检测到人员摔倒
2026-06-04T03:53:40.454867 | ID:57 | fall | 检测到人员摔倒
2026-06-04T03:53:40.455050 | ID:58 | fall | 检测到人员摔倒
2026-06-04T03:53:40.455191 | ID:59 | fall | 检测到人员摔倒
2026-06-04T03:53:40.455318 | ID:60 | fall | 检测到人员摔倒
2026-06-04T03:53:49.496254 | ID:61 | fall | 检测到人员摔倒
2026-06-04T03:53:51.498104 | ID:62 | fall | 检测到人员摔倒
2026-06-04T03:53:52.500191 | ID:63 | fall | 检测到人员摔倒
2026-06-04T03:53:52.500412 | ID:64 | fall | 检测到人员摔倒
2026-06-04T03:53:52.500469 | ID:65 | fall | 检测到人员摔倒
2026-06-04T03:53:52.500512 | ID:66 | fall | 检测到人员摔倒
2026-06-04T03:53:52.500553 | ID:67 | fall | 检测到人员摔倒
2026-06-04T03:53:53.501223 | ID:68 | fall | 检测到人员摔倒
2026-06-04T03:53:53.501423 | ID:69 | fall | 检测到人员摔倒
2026-06-04T03:54:01.505892 | ID:70 | fall | 检测到人员摔倒
2026-06-04T03:54:01.506267 | ID:71 | fall | 检测到人员摔倒
2026-06-04T03:54:02.508543 | ID:72 | fall | 检测到人员摔倒
2026-06-04T03:54:04.510677 | ID:73 | fall | 检测到人员摔倒
2026-06-04T03:54:04.510886 | ID:74 | fall | 检测到人员摔倒
2026-06-04T03:54:05.512894 | ID:75 | fall | 检测到人员摔倒
2026-06-04T03:54:05.513154 | ID:76 | fall | 检测到人员摔倒
2026-06-04T03:54:05.513218 | ID:77 | fall | 检测到人员摔倒
2026-06-04T03:54:05.513267 | ID:78 | fall | 检测到人员摔倒
2026-06-04T03:54:06.513510 | ID:79 | fall | 检测到人员摔倒
2026-06-04T03:54:16.557211 | ID:80 | fall | 检测到人员摔倒
2026-06-04T03:54:17.558405 | ID:81 | fall | 检测到人员摔倒
2026-06-04T03:54:18.559457 | ID:82 | fall | 检测到人员摔倒
2026-06-04T03:54:18.559678 | ID:83 | fall | 检测到人员摔倒
2026-06-04T03:54:18.559739 | ID:84 | fall | 检测到人员摔倒
2026-06-04T03:54:18.559786 | ID:85 | fall | 检测到人员摔倒
2026-06-04T03:54:18.559831 | ID:86 | fall | 检测到人员摔倒
2026-06-04T03:54:26.572660 | ID:87 | fall | 检测到人员摔倒
2026-06-04T03:54:28.574597 | ID:88 | fall | 检测到人员摔倒
2026-06-04T03:54:29.575967 | ID:89 | fall | 检测到人员摔倒
2026-06-04T03:54:29.576208 | ID:90 | fall | 检测到人员摔倒
2026-06-04T03:54:29.576272 | ID:91 | fall | 检测到人员摔倒
2026-06-04T03:54:29.576319 | ID:92 | fall | 检测到人员摔倒
2026-06-04T03:54:29.576372 | ID:93 | fall | 检测到人员摔倒
2026-06-04T03:54:29.576413 | ID:94 | fall | 检测到人员摔倒
2026-06-04T03:54:29.576456 | ID:95 | fall | 检测到人员摔倒
2026-06-04T03:54:37.593321 | ID:96 | fall | 检测到人员摔倒
2026-06-04T03:54:37.593554 | ID:97 | fall | 检测到人员摔倒
2026-06-04T03:54:37.593614 | ID:98 | fall | 检测到人员摔倒
2026-06-04T03:54:39.595904 | ID:99 | fall | 检测到人员摔倒
2026-06-04T03:54:39.596343 | ID:100 | fall | 检测到人员摔倒
2026-06-04T03:54:40.597583 | ID:101 | fall | 检测到人员摔倒
2026-06-04T03:54:40.597805 | ID:102 | fall | 检测到人员摔倒
2026-06-04T03:54:40.597864 | ID:103 | fall | 检测到人员摔倒
2026-06-04T03:54:40.597910 | ID:104 | fall | 检测到人员摔倒
2026-06-04T03:54:40.597955 | ID:105 | fall | 检测到人员摔倒
2026-06-04T03:54:50.642358 | ID:106 | fall | 检测到人员摔倒
2026-06-04T03:54:51.643546 | ID:107 | fall | 检测到人员摔倒
2026-06-04T03:54:51.643758 | ID:108 | fall | 检测到人员摔倒
2026-06-04T03:54:51.643815 | ID:109 | fall | 检测到人员摔倒
2026-06-04T03:54:51.643873 | ID:110 | fall | 检测到人员摔倒
2026-06-04T03:54:51.643912 | ID:111 | fall | 检测到人员摔倒
2026-06-04T03:54:51.643952 | ID:112 | fall | 检测到人员摔倒
2026-06-04T03:55:00.682392 | ID:113 | fall | 检测到人员摔倒
2026-06-04T03:55:02.684365 | ID:114 | fall | 检测到人员摔倒
2026-06-04T03:55:03.685239 | ID:115 | fall | 检测到人员摔倒
2026-06-04T03:55:03.685464 | ID:116 | fall | 检测到人员摔倒
2026-06-04T03:55:03.685527 | ID:117 | fall | 检测到人员摔倒
2026-06-04T03:55:03.685581 | ID:118 | fall | 检测到人员摔倒
2026-06-04T03:55:03.685626 | ID:119 | fall | 检测到人员摔倒
2026-06-04T03:55:04.698740 | ID:120 | fall | 检测到人员摔倒
2026-06-04T03:55:04.698961 | ID:121 | fall | 检测到人员摔倒
2026-06-04T03:55:12.729483 | ID:122 | fall | 检测到人员摔倒
2026-06-04T03:55:12.729715 | ID:123 | fall | 检测到人员摔倒
2026-06-04T03:55:13.734730 | ID:124 | fall | 检测到人员摔倒
2026-06-04T03:55:14.736128 | ID:125 | fall | 检测到人员摔倒
2026-06-04T03:55:15.756534 | ID:126 | fall | 检测到人员摔倒
2026-06-04T03:55:15.756749 | ID:127 | fall | 检测到人员摔倒
2026-06-04T03:55:16.758374 | ID:128 | fall | 检测到人员摔倒
2026-06-04T03:55:16.758600 | ID:129 | fall | 检测到人员摔倒
2026-06-04T03:55:16.758798 | ID:130 | fall | 检测到人员摔倒
2026-06-04T03:55:16.758848 | ID:131 | fall | 检测到人员摔倒
2026-06-04T03:55:34.820970 | ID:132 | fall | 检测到人员摔倒
2026-06-04T03:55:34.821219 | ID:133 | fall | 检测到人员摔倒
2026-06-04T03:55:36.828798 | ID:134 | fall | 检测到人员摔倒
2026-06-04T03:55:36.829024 | ID:135 | fall | 检测到人员摔倒
2026-06-04T03:55:37.830178 | ID:136 | fall | 检测到人员摔倒
2026-06-04T03:55:37.830605 | ID:137 | fall | 检测到人员摔倒
2026-06-04T03:55:37.830825 | ID:138 | fall | 检测到人员摔倒
2026-06-04T03:55:37.830975 | ID:139 | fall | 检测到人员摔倒
2026-06-04T03:55:37.831111 | ID:140 | fall | 检测到人员摔倒
2026-06-04T03:55:37.831242 | ID:141 | fall | 检测到人员摔倒
2026-06-04T03:55:37.831363 | ID:142 | fall | 检测到人员摔倒
2026-06-04T03:55:37.831483 | ID:143 | fall | 检测到人员摔倒
2026-06-04T03:55:37.831602 | ID:144 | fall | 检测到人员摔倒
2026-06-04T03:55:37.831730 | ID:145 | fall | 检测到人员摔倒
2026-06-04T03:55:37.831846 | ID:146 | fall | 检测到人员摔倒
2026-06-04T03:55:37.831963 | ID:147 | fall | 检测到人员摔倒
2026-06-04T03:55:37.832030 | ID:148 | fall | 检测到人员摔倒
2026-06-04T03:55:37.832085 | ID:149 | fall | 检测到人员摔倒
2026-06-04T03:55:45.851336 | ID:150 | fall | 检测到人员摔倒
2026-06-04T03:55:45.851701 | ID:151 | fall | 检测到人员摔倒
2026-06-04T03:55:45.851845 | ID:152 | fall | 检测到人员摔倒
2026-06-04T03:55:45.851957 | ID:153 | fall | 检测到人员摔倒
2026-06-04T03:55:45.852056 | ID:154 | fall | 检测到人员摔倒
2026-06-04T03:55:45.852153 | ID:155 | fall | 检测到人员摔倒
2026-06-04T03:55:47.854351 | ID:156 | fall | 检测到人员摔倒
2026-06-04T03:55:47.854572 | ID:157 | fall | 检测到人员摔倒
2026-06-04T03:55:47.854633 | ID:158 | fall | 检测到人员摔倒
2026-06-04T03:55:47.854680 | ID:159 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860028 | ID:160 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860246 | ID:161 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860377 | ID:162 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860425 | ID:163 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860470 | ID:164 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860511 | ID:165 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860552 | ID:166 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860590 | ID:167 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860631 | ID:168 | fall | 检测到人员摔倒
2026-06-04T03:55:48.860673 | ID:169 | fall | 检测到人员摔倒
2026-06-04T03:55:58.896264 | ID:170 | fall | 检测到人员摔倒
2026-06-04T03:55:58.896502 | ID:171 | fall | 检测到人员摔倒
2026-06-04T03:55:59.897035 | ID:172 | fall | 检测到人员摔倒
2026-06-04T03:55:59.897472 | ID:173 | fall | 检测到人员摔倒
2026-06-04T03:55:59.897659 | ID:174 | fall | 检测到人员摔倒
2026-06-04T03:55:59.897809 | ID:175 | fall | 检测到人员摔倒
2026-06-04T03:55:59.897941 | ID:176 | fall | 检测到人员摔倒
2026-06-04T03:55:59.898068 | ID:177 | fall | 检测到人员摔倒
2026-06-04T03:55:59.898196 | ID:178 | fall | 检测到人员摔倒
2026-06-04T03:55:59.898320 | ID:179 | fall | 检测到人员摔倒
2026-06-04T03:55:59.898445 | ID:180 | fall | 检测到人员摔倒
2026-06-04T03:55:59.898563 | ID:181 | fall | 检测到人员摔倒
2026-06-04T03:56:00.920222 | ID:182 | fall | 检测到人员摔倒
2026-06-04T03:56:00.920430 | ID:183 | fall | 检测到人员摔倒
2026-06-04T03:56:09.954432 | ID:184 | fall | 检测到人员摔倒
2026-06-04T03:56:09.954664 | ID:185 | fall | 检测到人员摔倒
2026-06-04T03:56:10.957009 | ID:186 | fall | 检测到人员摔倒
2026-06-04T03:56:10.957697 | ID:187 | fall | 检测到人员摔倒
